DIST_ID,DISTRICT,ZONE,REG_CODE,ZONE_CODE,OCHA_PCODE,HLCIT_CODE,total_hhs,district_pop,Death_Female,Death_Male,Unknown,deaths,Injured_Female,Injured_Male,Unknown,injured,GovtBuild_Damage,GovtBuild_PartDamage,PublicBuild_Damage,PublicBuild_PartDamage,Displaced_Females,Displaced_Males,date
1,Taplejung,Mechi,524 1,1/1/0524,E-MEC-01,524 1 01 01,26509,127461,1,0,0,1,3,4,0,7,0,69,4,28,,,05/06/2015
2,Panchthar,Mechi,524 1,1/1/0524,E-MEC-02,524 1 01 02,41196,191817,0,0,0,0,4,5,0,9,22,5,229,926,,,05/06/2015
3,Ilam,Mechi,524 1,1/1/0524,E-MEC-03,524 1 01 03,64502,290254,0,0,0,0,5,5,0,10,34,42,316,2032,,,05/06/2015
4,Jhapa,Mechi,524 1,1/1/0524,E-MEC-04,524 1 01 04,184552,812650,1,0,0,1,15,10,0,25,0,46,95,144,,,05/06/2015
5,Morang,Koshi,524 1,1/2/0524,E-KOS-05,524 1 02 05,213997,965370,1,1,0,2,26,33,0,59,0,51,3,112,,,05/06/2015
6,Sunsari,Koshi,524 1,1/2/0524,E-KOS-06,524 1 02 06,162407,763487,7,2,0,9,26,9,0,35,0,42,2,63,,,05/06/2015
7,Dhankuta,Koshi,524 1,1/2/0524,E-KOS-07,524 1 02 07,37637,163412,0,0,0,0,2,3,0,5,0,39,929,1500,,,05/06/2015
8,Terhathum,Koshi,524 1,1/2/0524,E-KOS-08,524 1 02 08,22094,101577,0,1,0,1,9,5,0,14,0,60,91,603,,,05/06/2015
9,Sankhuwasabha,Koshi,524 1,1/2/0524,E-KOS-09,524 1 02 09,34624,158742,0,0,0,0,4,4,0,8,88,208,1327,3031,,,05/06/2015
10,Bhojpur,Koshi,524 1,1/2/0524,E-KOS-10,524 1 02 10,39419,182459,2,0,0,2,8,5,0,13,0,21,1414,3513,,,05/06/2015
11,Solukhumbu,Sagarmatha,524 1,1/3/0524,E-SAG-11,524 1 03 11,23785,105886,5,15,0,20,20,80,0,100,75,142,9172,11137,,,05/06/2015
