lon,lat,Name,NAME_IOM,NAME_NSET
85.32106029,27.70643415,Padma Kanya Campus,Padma Kanya Campus,"KMC31-9, Padmakayan Campus (Bagbazar)"
85.32077101,27.70894441,National Academy,National Academy,"KMC31-13, Kamaladi (Nepal Academy)"
85.31733663,27.7028568,Rastriya Sabha Griha,Rastriya Sabha Griha,"KMC31-1, Rastriya Sabha Griha"
85.31893341,27.70081129,Bhirkuti Mandap,Bhirkuti Mandap,"KMC-31, Bhrikutimandap"
85.32074862,27.70251525,Balmiki Vidyapith,Balmiki Vidyapith,NOT IN NSET
85.32546864,27.68575585,UN Park Jwagal,UN Park Jwagal,Kupondole Riverside
85.33424277,27.67779176,ANFA Football Ground North,ANFA Football Ground North,"Lalitpur 9, Chyasal"
85.34267846,27.73343188,Shankha Park,Shankha Park,"KMC4-1, Shankha Park"
85.34481311,27.72443954,Ringroad Maharajgunj Chabahil,Ringroad Maharajgunj Chabahil,NOT IN NSET
85.35407287,27.72005732,Hyatt Regency Hotel,Hyatt Regency Hotel,Hyatt Regency Hotel
85.30839372,27.69242345,UN Park Gusingal,UN Park Gusingal,LSMC-1 UN Park
85.31498888,27.69496808,Dashrath Stadium,Dashrath Stadium,"KMC11-3, Tripureshowr (Dashrath Stadium)"
85.3107208,27.69248621,Bagmati Corridor 5,Bagmati Corridor 5,"KMC11-2, Bagmatighat1"
85.30310777,27.69254063,Bagmati Corridor 4,Bagmati Corridor 4,"KMC12-9, Teku"
85.31533566,27.71661184,Social Welfare Council,Social Welfare Council,"KMC29-4, Lainchaur"
85.28709654,27.71968236,Ringroad Maharajgunj Balaju Kalanki,Ringroad Maharajgunj Balaju Kalanki,NOT IN NSET
85.31452549,27.71205831,Election Commission Office,Election Commission Office,KMC30-4
85.34890913,27.68536457,Tin Kune,Tin Kune,"KMC35-1, Tinkune Koteswor"
85.35346656,27.69842336,Civil Aviation 1 Sinamangal,CA 1 Sinamangal,"KMC9-3, Sinamangal"
85.35476967,27.69808002,Airport Central Dojo,Airport Central Dojo,"KMC9-2, Nepal Nagarik udyan Pradhikaran open l"
85.34641631,27.70861532,Pashupati 5,Pashupati 5,all Pashupatinath temple area
85.34738491,27.70832648,Pashupati 4,Pashupati 4,all Pashupatinath temple area
85.34841746,27.71185113,Pashupati 3,Pashupati 3,all Pashupatinath temple area
85.35036408,27.70428995,Pashupati 2,Pashupati 2,all Pashupatinath temple area
85.34807256,27.70658628,Pashupati 1,Pashupati 1,all Pashupatinath temple area
85.35589495,27.71102882,DWSS,DWSS,NOT IN NSET
85.3451552,27.7094035,Bhandarkhal,Bhandarkhal,"KMC8-1, Pashupati Gaushala"
85.34109985,27.71135488,Sifal Ground,Sifal Ground,"KMC7-2, Sifal Chaur"
85.3331678,27.71224811,Sano Gaucharan,Sano Gaucharan,"KMC5-3, Sano Gaucharan"
85.33090034,27.71356235,Nepal Bal Mandir,Nepal Bal Mandir,"KMC1-7, Bal Mandir"
85.32562311,27.71472919,Narayan Chaur,Narayan Chaur,"KMC1-4, Narayan Chaur"
85.31521462,27.70291396,Ratna Park,Ratna Park,"KMC31-2, Tundikhel"
85.36058335,27.70994553,Airport Golf Club Site,Airport Golf Club Site,Airport Army Golf Club
85.3488742,27.67490083,Civil Aviation 2 End of Airport,CA 2 End of Airport,End of Airport Civil Aviation
85.35294013,27.69353429,Civil Aviation 3,CA 3,Sinamangal Civil Aviation
85.32134794,27.735824,Ringroad Maharajgunj Balaju,Ringroad Maharajgunj Balaju,NOT IN NSET
